WAHLKREIS,WAHL_DATUM,'SPÖ','ÖVP','GRÜNE','FPÖ'
Neuhofen an der Krems,2017-10-15,936,825,140,788
Perg,2017-10-15,13996,16510,1417,12363
Dimbach,2017-10-15,133,255,5,168
Ried in der Riedmark,2017-10-15,851,822,83,536
Saxen,2017-10-15,247,340,22,347
Schwertberg,2017-10-15,1057,777,88,695
Kirchheim im Innkreis,2017-10-15,55,175,5,158
Mehrnbach,2017-10-15,186,408,31,439
Mühlheim am Inn,2017-10-15,99,135,8,132
Reichersberg,2017-10-15,132,295,17,284
Senftenbach,2017-10-15,83,151,6,126
Hallstatt,2017-10-15,224,85,15,73
Pinsdorf,2017-10-15,658,511,55,636
Grieskirchen,2017-10-15,9477,16109,1475,12965
Bruck-Waasen,2017-10-15,201,604,35,415
Pram,2017-10-15,199,317,28,307
Schlüßlberg,2017-10-15,574,438,52,467
Wallern an der Trattnach,2017-10-15,450,481,59,539
Weibern,2017-10-15,169,387,40,218
Klaus an der Pyhrnbahn,2017-10-15,254,144,9,142
Micheldorf in Oberösterreich,2017-10-15,940,841,120,883
Steinbach am Ziehberg,2017-10-15,99,195,13,142
Windischgarsten,2017-10-15,362,372,25,313
Eggendorf im Traunkreis,2017-10-15,101,187,10,150
Schardenberg,2017-10-15,142,610,26,382
Suben,2017-10-15,131,238,16,182
Taufkirchen an der Pram,2017-10-15,354,548,31,578
Zell an der Pram,2017-10-15,180,496,46,281
Attnang-Puchheim,2017-10-15,1348,704,118,1027
Aurach am Hongar,2017-10-15,228,261,14,371
St.Pantaleon,2019-09-29,267,577,109,252
Freistadt,2019-09-29,10175,20054,6151,7411
Hagenberg im Mühlkreis,2019-09-29,320,452,255,253
Lasberg,2019-09-29,280,776,181,223
St.Leonhard bei Freistadt,2019-09-29,188,400,51,120
St.Oswald bei Freistadt,2019-09-29,379,679,104,285
Tragwein,2019-09-29,469,690,199,280
Gmunden,2019-09-29,16255,22804,9026,10116
Bad Ischl,2019-09-29,1547,2043,800,904
Eggelsberg,2019-09-29,140,485,88,256
Franking,2019-09-29,40,212,50,88
Geretsberg,2019-09-29,51,289,35,120
Maria Schmolln,2019-09-29,77,407,66,123
Wilhering,2019-09-29,715,1074,556,332
Perg,2019-09-29,11591,18136,5250,7550
Katsdorf,2019-09-29,411,597,260,203
Antiesenhofen,2019-09-29,79,197,21,119
Aurolzmünster,2019-09-29,229,456,101,374
Mühlheim am Inn,2019-09-29,76,137,29,79
Pattigham,2019-09-29,37,212,59,123
Arnreit,2019-09-29,62,376,71,113
Hörbich,2019-09-29,17,148,24,55
Hofkirchen im Mühlkreis,2019-09-29,98,367,91,116
Julbach,2019-09-29,238,365,38,133
St.Oswald bei Haslach,2019-09-29,53,133,18,49
Hallstatt,2019-09-29,171,85,62,32
St.Konrad,2019-09-29,125,288,44,110
St.Wolfgang im Salzkammergut,2019-09-29,274,633,108,157
Gaspoltshofen,2019-09-29,251,594,178,422
Kematen am Innbach,2019-09-29,117,261,60,216
Taufkirchen an der Trattnach,2019-09-29,156,436,105,271
Niederneukirchen,2019-09-29,214,455,132,199
Traun,2019-09-29,3247,2469,1006,1748
Pöndorf,2019-09-29,194,589,64,251
Tiefgraben,2019-09-29,142,865,195,236
Zell am Pettenfirst,2019-09-29,101,283,106,104
Eberstalzell,2019-09-29,127,638,122,336
Pennewang,2019-09-29,34,253,53,100
Sipbachzell,2019-09-29,152,490,107,226
Haibach im Mühlkreis,2019-09-29,87,213,66,78
St.Gotthard im Mühlkreis,2019-09-29,165,292,107,102
Ampflwang im Hausruckwald,2019-09-29,635,442,137,311
Atzbach,2019-09-29,54,326,71,128
Desselbrunn,2019-09-29,217,354,90,173
Lenzing,2019-09-29,820,526,224,589
Sarleinsbach,2019-09-29,145,738,127,201
Andorf,2019-09-29,540,1157,203,747
Engelhartszell,2019-09-29,54,178,42,94
Mayrhof,2019-09-29,8,88,8,54
St.Roman,2019-09-29,52,563,44,252
Waldkirchen am Wesen,2019-09-29,96,341,49,134
Wernstein am Inn,2019-09-29,134,317,48,172
Thalheim bei Wels,2019-09-29,464,919,414,477
Ostermiething,2019-09-29,152,752,141,232
Roßbach,2019-09-29,75,210,24,130
Gilgenberg am Weilhart        ,2002-11-24,102,426,21,107
Helpfau-Uttendorf             ,2002-11-24,559,853,83,257
Lengau                        ,2002-11-24,1063,931,178,243
Maria Schmolln                ,2002-11-24,170,544,25,87
Mattighofen                   ,2002-11-24,1155,898,182,321
Mauerkirchen                  ,2002-11-24,447,417,77,201
Palting                       ,2002-11-24,102,320,25,49
Bezirk Freistadt                     ,2002-11-24,13766,20780,2856,2851
Gutau                         ,2002-11-24,553,891,108,119
Kefermarkt                    ,2002-11-24,475,681,77,86
Königswiesen                  ,2002-11-24,551,1190,100,129
Weitersfelden                 ,2002-11-24,194,453,33,28
Hallstatt                     ,2002-11-24,349,148,61,41
Laakirchen                    ,2002-11-24,2796,1543,401,477
Roitham                       ,2002-11-24,453,550,78,158
Polling im Innkreis           ,2002-11-24,157,333,13,82
Aschach an der Donau          ,2002-11-24,590,462,105,177
Feldkirchen bei Mattighofen   ,2002-11-24,200,599,46,196
Arnreit                       ,2002-11-24,107,496,27,59
Julbach                       ,2002-11-24,366,512,36,69
Kirchberg ob der Donau        ,2002-11-24,216,371,30,64
Lembach im Mühlkreis          ,2002-11-24,239,525,73,85
Niederwaldkirchen             ,2002-11-24,228,724,63,86
St.Oswald bei Haslach         ,2002-11-24,106,207,24,28
Scharnstein                   ,2002-11-24,1146,1038,216,341
Meggenhofen                   ,2002-11-24,153,490,54,66
Michaelnbach                  ,2002-11-24,140,504,39,107
Pötting                       ,2002-11-24,61,260,12,17
St.Agatha                     ,2002-11-24,311,894,42,97
Pettenbach                    ,2002-11-24,840,1249,204,360
Steinbach an der Steyr        ,2002-11-24,436,701,62,91
Windischgarsten               ,2002-11-24,559,601,61,155
Oftering                      ,2002-11-24,564,432,64,138
Arbing                        ,2002-11-24,271,445,66,66
Bad Kreuzen                   ,2002-11-24,164,1048,33,96
Naarn im Machlande            ,2002-11-24,841,1035,100,138
Perg                          ,2002-11-24,1617,1925,385,365
St.Nikola an der Donau        ,2002-11-24,180,285,22,18
Bezirk Ried im Innkreis              ,2002-11-24,9250,17248,2257,5442
Mühlheim am Inn               ,2002-11-24,152,188,29,58
St.Gotthard im Mühlkreis      ,2002-11-24,269,408,79,74
Berg im Attergau              ,2002-11-24,86,440,16,62
Lenzing                       ,2002-11-24,1821,607,231,365
Zell am Moos                  ,2002-11-24,164,503,68,67
Bachmanning                   ,2002-11-24,120,159,22,59
Stadl-Paura                   ,2002-11-24,1312,696,225,359
Manning                       ,2002-11-24,157,285,38,34
Ulrichsberg                   ,2002-11-24,527,1005,125,190
Dorf an der Pram              ,2002-11-24,143,386,27,57
Freinberg                     ,2002-11-24,231,445,19,83
Kopfing im Innkreis           ,2002-11-24,301,681,49,193
St.Marienkirchen bei Schärding,2002-11-24,205,634,59,205
Schärding                     ,2002-11-24,1140,1197,282,427
Waldkirchen am Wesen          ,2002-11-24,200,500,29,107
Zell an der Pram              ,2002-11-24,234,703,86,129
Adlwang                       ,2002-11-24,208,523,61,134
Aschach an der Steyr          ,2002-11-24,405,666,116,106
Reichraming                   ,2002-11-24,772,323,63,99
Haibach im Mühlkreis          ,2002-11-24,155,277,38,36
Lichtenberg                   ,2002-11-24,465,779,198,108
Großraming                    ,2008-09-28,612,585,146,259
Losenstein                    ,2008-09-28,380,297,85,163
Wolfern                       ,2008-09-28,570,636,158,299
Altenberg bei Linz            ,2008-09-28,548,1111,343,346
Herzogsdorf                   ,2008-09-28,303,585,86,240
Lichtenberg                   ,2008-09-28,408,573,256,234
Reichenau im Mühlkreis        ,2008-09-28,190,262,94,123
Walding                       ,2008-09-28,860,673,284,308
Attnang-Puchheim              ,2008-09-28,1789,678,404,1069
Fornach                       ,2008-09-28,68,247,32,172
Gampern                       ,2008-09-28,304,461,140,357
Neukirchen an der Vöckla      ,2008-09-28,316,470,142,383
St.Oswald bei Haslach         ,2008-09-28,71,145,12,32
St.Stefan am Walde            ,2008-09-28,103,228,49,57
St.Ulrich im Mühlkreis        ,2008-09-28,60,180,47,48
Schönegg                      ,2008-09-28,94,141,16,58
Schwarzenberg am Böhmerwald   ,2008-09-28,81,162,5,77
Altschwendt                   ,2008-09-28,92,165,29,78
Dorf an der Pram              ,2008-09-28,124,307,28,105
Oberndorf bei Schwanenstadt   ,2008-09-28,245,227,72,195
Ottnang am Hausruck           ,2008-09-28,743,537,141,515
Pöndorf                       ,2008-09-28,356,440,64,329
Rutzenham                     ,2008-09-28,16,63,35,34
Wahlkreis Mühlviertel,2008-09-28,49167,59830,17560,28843
Linz,2008-09-28,37496,14890,12599,17328
Überackern                    ,2008-09-28,76,92,12,69
Hartkirchen                   ,2008-09-28,673,810,211,643
Stroheim                      ,2008-09-28,153,436,58,167
Lasberg                       ,2008-09-28,422,698,159,287
Rainbach im Mühlkreis         ,2008-09-28,451,721,145,232
Schönau im Mühlkreis          ,2008-09-28,287,506,64,237
Unterweißenbach               ,2008-09-28,336,640,80,278
Altheim                       ,2008-09-28,860,630,169,735
Feldkirchen bei Mattighofen   ,2008-09-28,180,400,70,245
Gilgenberg am Weilhart        ,2008-09-28,92,275,25,125
Helpfau-Uttendorf             ,2008-09-28,426,489,84,400
Kirchberg bei Mattighofen     ,2008-09-28,81,252,40,155
Moosbach                      ,2008-09-28,61,176,24,174
Ostermiething                 ,2008-09-28,313,486,112,269
Pischelsdorf am Engelbach     ,2008-09-28,133,374,37,226
St.Georgen am Fillmannsbach   ,2008-09-28,23,70,7,99
St.Radegund                   ,2008-09-28,33,205,28,26
St.Veit im Innkreis           ,2008-09-28,71,82,6,73
Pram                          ,2008-09-28,231,325,92,240
Kirchdorf an der Krems        ,2008-09-28,785,501,284,369
Rosenau am Hengstpaß          ,2008-09-28,193,105,12,61
Ansfelden                     ,2008-09-28,3483,1096,625,1975
Grein                         ,2008-09-28,661,520,130,368
Pabneukirchen                 ,2008-09-28,227,476,52,172
St.Georgen an der Gusen       ,2008-09-28,1072,442,241,346
Geinberg                      ,2008-09-28,148,219,49,245
Mühlheim am Inn               ,2008-09-28,116,105,25,69
Schildorn                     ,2008-09-28,179,237,27,139
Senftenbach                   ,2008-09-28,84,181,27,108
Gosau                         ,2008-09-28,545,212,50,160
Pinsdorf                      ,2008-09-28,823,386,177,433
Tumeltsham                    ,2008-09-28,126,281,107,258
Atzesberg                     ,2008-09-28,28,173,22,46
Haslach an der Mühl           ,2008-09-28,535,447,156,222
Kirchberg ob der Donau        ,2008-09-28,181,266,46,109
Schildorn                     ,2013-09-29,146,200,26,119
Utzenaich                     ,2013-09-29,156,290,67,212
Bezirk Rohrbach                      ,2013-09-29,7089,14863,3481,6322
Ahorn                         ,2013-09-29,66,147,19,66
Aigen im Mühlkreis            ,2013-09-29,224,374,92,200
Arnreit                       ,2013-09-29,84,324,49,103
Neustift im Mühlkreis         ,2013-09-29,168,424,52,108
St.Johann am Wimberg          ,2013-09-29,72,224,52,145
St.Peter am Wimberg           ,2013-09-29,178,513,98,139
St.Stefan am Walde            ,2013-09-29,98,239,61,70
Sarleinsbach                  ,2013-09-29,214,657,129,227
Esternberg                    ,2013-09-29,191,606,97,433
Taufkirchen an der Pram       ,2013-09-29,404,440,106,409
Losenstein                    ,2013-09-29,293,231,80,186
Schiedlberg                   ,2013-09-29,81,440,43,87
Nußdorf am Attersee           ,2013-09-29,88,210,43,146
Puchkirchen am Trattberg      ,2013-09-29,106,192,50,112
Schwanenstadt                 ,2013-09-29,529,410,246,478
Timelkam                      ,2013-09-29,1027,582,370,771
Vöcklabruck                   ,2013-09-29,1613,1204,875,1231
Weyregg am Attersee           ,2013-09-29,200,266,103,169
Zell am Moos                  ,2013-09-29,118,323,108,137
Bachmanning                   ,2013-09-29,93,111,26,89
Tarsdorf                      ,2013-09-29,149,389,101,280
St.Marienkirchen an d. Polsenz,2013-09-29,344,404,136,330
Scharten                      ,2013-09-29,332,297,181,348
Sandl                         ,2013-09-29,316,253,70,136
St.Leonhard bei Freistadt     ,2013-09-29,235,351,47,161
Wahlkreis Innviertel,2013-09-29,26429,37107,11312,31077
Burgkirchen                   ,2013-09-29,239,494,121,319
Höhnhart                      ,2013-09-29,156,277,32,230
Jeging,2013-09-29,96,109,13,94
Mattighofen                   ,2013-09-29,775,331,214,593
Moosdorf                      ,2013-09-29,248,206,92,162
Neukirchen an der Enknach     ,2013-09-29,256,373,76,316
Pfaffstätt                    ,2013-09-29,117,153,43,115
St.Georgen am Fillmannsbach   ,2013-09-29,25,66,7,94
St.Peter am Hart              ,2013-09-29,300,316,135,272
St.Radegund                   ,2013-09-29,30,192,46,41
Schalchen                     ,2013-09-29,523,402,175,499
Wartberg ob der Aist          ,2013-09-29,805,521,325,484
Weitersfelden                 ,2013-09-29,155,280,48,104
Windhaag bei Freistadt        ,2013-09-29,214,424,59,169
Gosau                         ,2013-09-29,455,205,62,151
Münzbach                      ,2013-09-29,153,438,49,228
Ried in der Riedmark          ,2013-09-29,846,669,260,403
Schwertberg                   ,2013-09-29,1145,576,328,511
Geiersberg                    ,2013-09-29,52,97,39,69
Kirchheim im Innkreis         ,2013-09-29,77,178,31,117
Lohnsburg am Kobernaußerwald  ,2013-09-29,182,460,87,326
Ort im Innkreis               ,2013-09-29,99,176,62,221
Vorchdorf                     ,2013-09-29,1058,885,453,946
Gallspach                     ,2013-09-29,340,241,121,402
Rottenbach                    ,2013-09-29,121,177,45,190
St.Agatha                     ,2013-09-29,221,528,96,248
Wallern an der Trattnach      ,2013-09-29,478,396,164,419
Bezirk Kirchdorf an der Krems        ,2013-09-29,8438,9067,3537,7612
Enns                          ,2013-09-29,1855,952,669,1196
Oftering                      ,2013-09-29,400,244,129,237
Grein                         ,2013-09-29,533,452,152,320
Klam                          ,2013-09-29,89,178,32,106
Waldneukirchen                ,2013-09-29,282,449,120,270
Herzogsdorf                   ,2013-09-29,256,577,136,259
Berg im Attergau              ,2013-09-29,74,273,41,126
Desselbrunn,2017-10-15,284,346,18,312
Fornach,2017-10-15,65,295,8,161
Oberndorf bei Schwanenstadt,2017-10-15,217,223,27,295
Puchkirchen am Trattberg,2017-10-15,130,238,10,130
St.Georgen im Attergau,2017-10-15,370,753,66,706
Rohr im Kremstal,2017-10-15,174,273,13,212
Eidenberg,2017-10-15,241,586,40,231
Schenkenfelden,2017-10-15,170,475,12,180
Lembach im Mühlkreis,2017-10-15,161,360,20,256
Lichtenau im Mühlkreis,2017-10-15,38,143,6,77
Enzenkirchen,2017-10-15,181,327,8,433
Münzkirchen,2017-10-15,224,593,33,537
Eberstalzell,2017-10-15,176,565,32,475
Pennewang,2017-10-15,68,248,16,125
Sattledt,2017-10-15,273,441,15,452
Steinhaus,2017-10-15,215,333,28,461
Ostermiething,2017-10-15,248,633,50,432
Pischelsdorf am Engelbach,2017-10-15,117,397,20,343
St.Radegund,2017-10-15,29,215,17,49
Freistadt,2017-10-15,13221,18003,1839,12094
Hagenberg im Mühlkreis,2017-10-15,456,412,73,427
Rainbach im Mühlkreis,2017-10-15,427,680,52,325
Sandl,2017-10-15,254,286,34,226
Weitersfelden,2017-10-15,139,303,16,135
Franking,2017-10-15,72,194,8,163
Handenberg,2017-10-15,105,340,8,227
Jeging,2017-10-15,65,145,4,124
Baumgartenberg,2017-10-15,157,351,18,352
Münzbach,2017-10-15,121,457,10,297
Rechberg,2017-10-15,82,347,13,92
Eitzing,2017-10-15,89,167,11,144
Geinberg,2017-10-15,95,238,15,242
Neuhofen im Innkreis,2017-10-15,293,448,51,384
Pattigham,2017-10-15,80,215,12,157
St.Marienkirchen am Hausruck,2017-10-15,70,224,7,177
Taiskirchen im Innkreis,2017-10-15,249,595,59,435
Weilbach,2017-10-15,44,159,10,99
Arnreit,2017-10-15,98,369,15,173
Gschwandt,2017-10-15,399,551,42,448
Obertraun,2017-10-15,192,96,6,82
Ohlsdorf,2017-10-15,840,873,106,814
Vorchdorf,2017-10-15,1084,1235,164,1298
Neukirchen am Walde,2017-10-15,162,426,31,305
St.Thomas,2017-10-15,52,128,14,109
Waizenkirchen,2017-10-15,348,879,69,581
Wendling,2017-10-15,61,214,11,155
Asten,2017-10-15,1200,675,65,1091
Enns,2017-10-15,1837,1330,169,1432
Hörsching,2017-10-15,921,854,95,1061
Treubach,2019-09-29,20,181,18,90
Eferding,2019-09-29,4901,8106,2754,4353
Fraham,2019-09-29,273,414,134,216
Hinzenbach,2019-09-29,236,424,120,202
Prambachkirchen,2019-09-29,210,658,144,318
Gutau,2019-09-29,372,719,173,238
Königswiesen,2019-09-29,238,943,109,331
Gosau,2019-09-29,339,310,53,110
Oberösterreich,2019-09-29,187173,310611,115983,147873
Hausruckviertel,2019-09-29,43537,77480,27377,40697
Traunviertel,2019-09-29,38208,53475,20074,25233
Mühlviertel,2019-09-29,35703,75139,24627,27201
Altheim,2019-09-29,478,885,179,599
Hochburg-Ach,2019-09-29,151,739,132,187
Lochen,2019-09-29,145,725,120,331
Munderfing,2019-09-29,278,594,113,295
Allerheiligen im Mühlkreis,2019-09-29,170,328,62,126
Grein,2019-09-29,336,564,129,260
Mauthausen,2019-09-29,888,632,253,343
St.Georgen an der Gusen,2019-09-29,712,662,336,290
Saxen,2019-09-29,196,373,75,228
Pramet,2019-09-29,68,237,40,137
Senftenbach,2019-09-29,42,157,34,75
Altenfelden,2019-09-29,175,518,101,272
Lichtenau im Mühlkreis,2019-09-29,29,135,9,51
Putzleinsdorf,2019-09-29,71,440,108,140
Neustift im Mühlkreis,2019-09-29,109,411,91,93
Obertraun,2019-09-29,173,107,41,18
Grieskirchen,2019-09-29,7176,17319,5145,8483
Eschenau im Hausruckkreis,2019-09-29,56,385,39,137
Geboltskirchen,2019-09-29,177,301,94,148
Meggenhofen,2019-09-29,102,361,103,121
Rottenbach,2019-09-29,89,182,51,174
Steegen,2019-09-29,65,273,65,107
Wallern an der Trattnach,2019-09-29,324,540,193,326
Weibern,2019-09-29,108,399,108,120
Hinterstoder,2019-09-29,52,215,39,89
Klaus an der Pyhrnbahn,2019-09-29,204,161,37,87
Roßleithen,2019-09-29,183,397,64,186
Linz-Land,2019-09-29,22406,25574,11290,13863
Hargelsberg,2019-09-29,165,301,83,114
Neuhofen an der Krems,2019-09-29,649,880,500,429
Pasching,2019-09-29,1065,1067,443,626
Piberbach,2019-09-29,209,352,92,158
Pucking,2019-09-29,444,658,210,522
Gaflenz,2019-09-29,162,536,99,164
Laussa,2019-09-29,133,299,76,131
Maria Neustift,2019-09-29,108,476,58,174
Waldneukirchen,2019-09-29,202,566,128,206
Wolfern,2019-09-29,337,731,169,298
Alberndorf in der Riedmark,2019-09-29,338,911,260,388
Eidenberg,2019-09-29,148,629,153,128
Straß im Attergau,2019-09-29,75,336,56,158
Bad Wimsbach-Neydharting,2019-09-29,252,583,130,228
Pichl bei Wels,2019-09-29,283,548,195,330
Gallneukirchen,2019-09-29,804,965,708,365
Reichenthal,2019-09-29,136,435,74,93
Schenkenfelden,2019-09-29,94,487,86,110
Vorderweißenbach,2019-09-29,219,788,132,237
Oberhofen am Irrsee,2019-09-29,116,424,73,120
Pilsbach,2019-09-29,92,158,40,44
Pitzenberg,2019-09-29,43,130,45,56
Aigen-Schlägl,2019-09-29,233,777,158,272
Altschwendt,2019-09-29,60,184,37,78
Eggerding,2019-09-29,51,357,42,146
Enzenkirchen,2019-09-29,142,416,46,301
Aschach an der Steyr,2019-09-29,257,460,189,201
Steinerkirchen an der Traun,2019-09-29,111,641,147,243
Weißkirchen an der Traun,2019-09-29,359,681,188,344
Neukirchen an der Enknach,2019-09-29,165,530,78,270
Geretsberg                    ,2002-11-24,108,341,24,105
Munderfing                    ,2002-11-24,593,701,116,125
Pfaffstätt                    ,2002-11-24,148,248,29,77
Pischelsdorf am Engelbach     ,2002-11-24,181,533,30,180
Leopoldschlag                 ,2002-11-24,139,434,32,43
Unterweißenbach               ,2002-11-24,384,922,56,106
Roßbach                       ,2002-11-24,187,267,26,101
St.Radegund                   ,2002-11-24,37,273,18,24
Überackern                    ,2002-11-24,74,186,9,41
Pupping                       ,2002-11-24,397,541,78,151
Wahlkreis Innviertel                    ,2002-11-24,36501,62605,8528,17585
Bezirk Braunau am Inn                ,2002-11-24,17463,25391,3559,6981
Tumeltsham                    ,2002-11-24,168,490,79,130
Afiesl                        ,2002-11-24,72,168,10,15
Auberg                        ,2002-11-24,61,211,20,41
Pfarrkirchen im Mühlkreis     ,2002-11-24,144,621,42,60
Putzleinsdorf                 ,2002-11-24,150,629,30,83
Neustift im Mühlkreis         ,2002-11-24,184,633,29,61
St.Stefan am Walde            ,2002-11-24,120,338,37,35
St.Ulrich im Mühlkreis        ,2002-11-24,55,280,30,18
Schlägl                       ,2002-11-24,269,474,55,53
Schwarzenberg am Böhmerwald   ,2002-11-24,96,248,11,42
Gallspach                     ,2002-11-24,489,628,78,190
Pram                          ,2002-11-24,265,515,75,180
Wallern an der Trattnach      ,2002-11-24,693,786,133,244
Bezirk Kirchdorf an der Krems        ,2002-11-24,11709,15048,2134,3643
Inzersdorf im Kremstal        ,2002-11-24,297,562,77,131
Kirchdorf an der Krems        ,2002-11-24,1013,936,258,261
Micheldorf in Oberösterreich  ,2002-11-24,1552,1146,292,373
Molln                         ,2002-11-24,986,872,128,243
St.Pankraz                    ,2002-11-24,100,74,0,50
Wartberg an der Krems         ,2002-11-24,447,981,103,188
Allhaming                     ,2002-11-24,211,331,37,50
Ansfelden                     ,2002-11-24,4441,2265,643,1118
Eggendorf im Traunkreis       ,2002-11-24,150,221,25,42
Hofkirchen im Traunkreis      ,2002-11-24,317,412,75,78
Neuhofen an der Krems         ,2002-11-24,1295,1329,366,272
Pasching                      ,2002-11-24,1856,1182,327,420
Pucking                       ,2002-11-24,894,835,159,235
Baumgartenberg                ,2002-11-24,263,546,45,91
Dimbach                       ,2002-11-24,207,403,27,43
Grein                         ,2002-11-24,775,853,120,159
Gurten                        ,2002-11-24,176,375,41,107
Kirchdorf am Inn              ,2002-11-24,85,239,16,47
Neuhofen im Innkreis          ,2002-11-24,385,611,112,147
Ried im Innkreis              ,2002-11-24,1925,2656,703,1090
St.Martin im Innkreis         ,2002-11-24,241,429,45,180
Reichenthal                   ,2002-11-24,241,540,47,54
Sonnberg im Mühlkreis         ,2002-11-24,132,286,24,35
Vorderweißenbach              ,2002-11-24,232,900,66,83
Attersee                      ,2002-11-24,273,449,72,85
Desselbrunn                   ,2002-11-24,377,459,61,90
Schwanenstadt                 ,2002-11-24,848,829,253,303
Straß im Attergau             ,2002-11-24,180,521,35,111
Wolfsegg am Hausruck          ,2002-11-24,547,450,101,123
Zell am Pettenfirst           ,2002-11-24,247,369,64,63
Fischlham                     ,2002-11-24,227,484,42,71
Offenhausen                   ,2002-11-24,220,454,50,153
Nußdorf am Attersee           ,2002-11-24,123,335,28,111
Rüstorf                       ,2002-11-24,469,416,107,145
Altschwendt                   ,2002-11-24,88,249,22,68
Diersbach                     ,2002-11-24,214,553,50,169
Engelhartszell                ,2002-11-24,146,394,40,85
Münzkirchen                   ,2002-11-24,343,886,83,220
St.Aegidi                     ,2002-11-24,150,749,40,117
St.Florian am Inn             ,2002-11-24,695,789,111,214
St.Willibald                  ,2002-11-24,210,343,18,138
Taufkirchen an der Pram       ,2002-11-24,652,795,90,232
Wernstein am Inn              ,2002-11-24,303,515,40,115
Bad Leonfelden                ,2002-11-24,524,1515,179,164
Engerwitzdorf                 ,2002-11-24,1754,2019,504,389
St.Marienkirchen bei Schärding,2008-09-28,185,369,56,319
Weyer  ,2008-09-28,1113,615,226,412
Alberndorf in der Riedmark    ,2008-09-28,555,769,215,472
Kirchschlag bei Linz          ,2008-09-28,266,369,161,216
Zwettl an der Rodl            ,2008-09-28,242,413,129,145
Berg im Attergau              ,2008-09-28,79,288,25,127
Niederthalheim                ,2008-09-28,99,239,55,167
St.Martin im Mühlkreis        ,2008-09-28,527,795,220,389
St.Veit im Mühlkreis          ,2008-09-28,150,322,58,125
Sarleinsbach                  ,2008-09-28,195,722,100,231
Krenglbach                    ,2008-09-28,630,422,173,375
Redlham                       ,2008-09-28,255,246,74,182
Vöcklamarkt                   ,2008-09-28,674,831,210,644
Bad Wimsbach-Neydharting      ,2008-09-28,408,509,86,279
Fischlham                     ,2008-09-28,214,338,53,165
Stadt Steyr                         ,2008-09-28,9406,3108,2213,3975
Weng im Innkreis              ,2008-09-28,154,271,28,230
Bezirk Eferding                      ,2008-09-28,6201,5765,1767,4115
Hinzenbach                    ,2008-09-28,418,384,72,249
Scharten                      ,2008-09-28,418,332,121,290
Freistadt                     ,2008-09-28,1405,1174,590,793
Kaltenberg                    ,2008-09-28,32,270,10,72
Königswiesen                  ,2008-09-28,456,780,131,375
Aspach                        ,2008-09-28,250,566,59,302
Franking                      ,2008-09-28,70,185,28,111
Handenberg                    ,2008-09-28,123,318,32,125
Jeging,2008-09-28,106,116,12,79
Inzersdorf im Kremstal        ,2008-09-28,281,375,118,196
Allhaming                     ,2008-09-28,208,247,45,88
Asten                         ,2008-09-28,1431,410,229,895
Hargelsberg                   ,2008-09-28,227,248,59,139
Piberbach                     ,2008-09-28,419,274,90,210
Traun                         ,2008-09-28,5299,1682,950,2675
Wilhering                     ,2008-09-28,1014,997,510,488
Dimbach                       ,2008-09-28,201,297,29,91
Mauthausen                    ,2008-09-28,1350,515,206,458
St.Nikola an der Donau        ,2008-09-28,156,203,29,65
Schwertberg                   ,2008-09-28,1384,605,283,582
Kirchheim im Innkreis         ,2008-09-28,65,172,27,112
Mörschwang                    ,2008-09-28,17,93,12,31
St.Martin im Innkreis         ,2008-09-28,217,216,77,244
Altmünster                    ,2008-09-28,1744,1480,645,897
Bad Ischl                     ,2008-09-28,2379,1599,838,1350
Gschwandt                     ,2008-09-28,409,400,136,274
Traunkirchen                  ,2008-09-28,286,269,126,156
Weilbach                      ,2008-09-28,42,165,25,79
Bezirk Rohrbach                      ,2008-09-28,7852,15258,3003,5884
Arnreit                       ,2008-09-28,99,373,52,85
Auberg                        ,2008-09-28,38,160,28,48
Helfenberg                    ,2008-09-28,145,263,44,101
Tumeltsham                    ,2013-09-29,97,235,119,259
Waldzell                      ,2013-09-29,325,371,69,295
Atzesberg                     ,2013-09-29,31,141,22,81
Kleinzell im Mühlkreis        ,2013-09-29,201,322,109,131
Niederwaldkirchen             ,2013-09-29,175,478,113,150
Oepping                       ,2013-09-29,155,365,87,191
Pfarrkirchen im Mühlkreis     ,2013-09-29,112,442,53,154
Rohrbach in Oberösterreich    ,2013-09-29,258,510,215,187
Schwarzenberg am Böhmerwald   ,2013-09-29,71,144,14,91
Münzkirchen                   ,2013-09-29,289,503,94,375
St.Willibald                  ,2013-09-29,137,215,51,195
Bezirk Steyr-Land                    ,2013-09-29,10296,10312,4375,7323
Dietach                       ,2013-09-29,477,454,274,310
Gaflenz                       ,2013-09-29,219,404,84,207
Pfarrkirchen bei Bad Hall     ,2013-09-29,326,317,131,276
Schörfling am Attersee        ,2013-09-29,471,312,251,440
Straß im Attergau             ,2013-09-29,125,292,64,214
Weißenkirchen im Attergau     ,2013-09-29,62,272,37,120
Aichkirchen                   ,2013-09-29,38,139,21,86
Bad Wimsbach-Neydharting      ,2013-09-29,332,477,129,307
Marchtrenk                    ,2013-09-29,2267,806,580,1814
Sattledt                      ,2013-09-29,300,400,79,329
Stadl-Paura                   ,2013-09-29,673,288,209,691
Bezirk Eferding                      ,2013-09-29,5378,5380,2320,4711
Haibach ob der Donau          ,2013-09-29,189,299,91,123
Kefermarkt                    ,2013-09-29,366,353,109,212
Schönau im Mühlkreis          ,2013-09-29,257,506,83,239
Tragwein                      ,2013-09-29,622,620,178,283
